Year,County Code,County Name,Disposition Code,Type of Disposition,Deaths,Percent
2007,26,Genesee,2,Cremation,215,36.0%
2007,26,Genesee,3,Other/Unknown,50,8.4%
2007,27,Greene,0,Total,541,100.0%
2007,27,Greene,1,Burial,288,53.2%
2007,27,Greene,2,Cremation,241,44.5%
2007,27,Greene,3,Other/Unknown,12,2.2%
2007,28,Hamilton,0,Total,60,100.0%
2007,28,Hamilton,1,Burial,25,41.7%
2007,28,Hamilton,2,Cremation,27,45.0%
2007,28,Hamilton,3,Other/Unknown,8,13.3%
2007,29,Herkimer,0,Total,674,100.0%
2007,29,Herkimer,1,Burial,364,54.0%
2007,29,Herkimer,2,Cremation,225,33.4%
2007,29,Herkimer,3,Other/Unknown,85,12.6%
2007,30,Jefferson,0,Total,860,100.0%
2007,30,Jefferson,1,Burial,406,47.2%
2007,30,Jefferson,2,Cremation,393,45.7%
2007,30,Jefferson,3,Other/Unknown,61,7.1%
2007,31,Lewis,0,Total,225,100.0%
2007,31,Lewis,1,Burial,137,60.9%
2007,31,Lewis,2,Cremation,64,28.4%
2007,31,Lewis,3,Other/Unknown,24,10.7%
2007,32,Livingston,0,Total,497,100.0%
2007,32,Livingston,1,Burial,279,56.1%
2007,32,Livingston,2,Cremation,206,41.4%
2007,32,Livingston,3,Other/Unknown,12,2.4%
2007,33,Madison,0,Total,569,100.0%
2007,33,Madison,1,Burial,294,51.7%
2007,33,Madison,2,Cremation,222,39.0%
2007,33,Madison,3,Other/Unknown,53,9.3%
2007,34,Monroe,0,Total,6198,100.0%
2007,34,Monroe,1,Burial,3212,51.8%
2007,34,Monroe,2,Cremation,2362,38.1%
2007,34,Monroe,3,Other/Unknown,624,10.1%
2007,35,Montgomery,0,Total,609,100.0%
2007,35,Montgomery,1,Burial,403,66.2%
2007,35,Montgomery,2,Cremation,180,29.6%
2007,35,Montgomery,3,Other/Unknown,26,4.3%
2007,36,Nassau,0,Total,10414,100.0%
2007,36,Nassau,1,Burial,7693,73.9%
2007,36,Nassau,2,Cremation,2062,19.8%
2007,36,Nassau,3,Other/Unknown,659,6.3%
2007,37,Niagara,0,Total,2313,100.0%
2007,37,Niagara,1,Burial,1244,53.8%
2007,37,Niagara,2,Cremation,839,36.3%
2007,37,Niagara,3,Other/Unknown,230,9.9%
2007,38,Oneida,0,Total,2472,100.0%
2007,38,Oneida,1,Burial,1597,64.6%
2007,38,Oneida,2,Cremation,680,27.5%
2007,38,Oneida,3,Other/Unknown,195,7.9%
2007,39,Onondaga,0,Total,3954,100.0%
2007,39,Onondaga,1,Burial,2272,57.5%
2007,39,Onondaga,2,Cremation,1290,32.6%
2007,39,Onondaga,3,Other/Unknown,392,9.9%
2007,40,Ontario,0,Total,893,100.0%
2007,40,Ontario,1,Burial,419,46.9%
2007,40,Ontario,2,Cremation,417,46.7%
2007,40,Ontario,3,Other/Unknown,57,6.4%
2007,41,Orange,0,Total,2498,100.0%
2007,41,Orange,1,Burial,1478,59.2%
2007,41,Orange,2,Cremation,897,35.9%
2007,41,Orange,3,Other/Unknown,123,4.9%
2007,42,Orleans,0,Total,350,100.0%
2007,42,Orleans,1,Burial,189,54.0%
2007,42,Orleans,2,Cremation,141,40.3%
2007,42,Orleans,3,Other/Unknown,20,5.7%
2007,43,Oswego,0,Total,1022,100.0%
2007,43,Oswego,1,Burial,541,52.9%
2007,43,Oswego,2,Cremation,410,40.1%
2007,43,Oswego,3,Other/Unknown,71,6.9%
2007,44,Otsego,0,Total,556,100.0%
2007,44,Otsego,1,Burial,256,46.0%
2007,44,Otsego,2,Cremation,272,48.9%
2007,44,Otsego,3,Other/Unknown,28,5.0%
2007,45,Putnam,0,Total,553,100.0%
2007,45,Putnam,1,Burial,322,58.2%
2007,45,Putnam,2,Cremation,184,33.3%
2007,45,Putnam,3,Other/Unknown,47,8.5%
2007,46,Rensselaer,0,Total,1410,100.0%
2007,46,Rensselaer,1,Burial,886,62.8%
2007,46,Rensselaer,2,Cremation,367,26.0%
2007,46,Rensselaer,3,Other/Unknown,157,11.1%
2007,47,Rockland,0,Total,1869,100.0%
2007,47,Rockland,1,Burial,1401,75.0%
2007,47,Rockland,2,Cremation,388,20.8%
2007,47,Rockland,3,Other/Unknown,80,4.3%
2007,48,St Lawrence,0,Total,1072,100.0%
2007,48,St Lawrence,1,Burial,575,53.6%
2007,48,St Lawrence,2,Cremation,394,36.8%
2007,48,St Lawrence,3,Other/Unknown,103,9.6%
2007,49,Saratoga,0,Total,1533,100.0%
2007,49,Saratoga,1,Burial,888,57.9%
2007,49,Saratoga,2,Cremation,528,34.4%
2007,49,Saratoga,3,Other/Unknown,117,7.6%
2007,50,Schenectady,0,Total,1502,100.0%
2007,50,Schenectady,1,Burial,916,61.0%
2007,50,Schenectady,2,Cremation,450,30.0%
2007,50,Schenectady,3,Other/Unknown,136,9.1%
2007,51,Schoharie,0,Total,288,100.0%
2007,51,Schoharie,1,Burial,152,52.8%
2007,51,Schoharie,2,Cremation,125,43.4%
2007,51,Schoharie,3,Other/Unknown,11,3.8%
2007,52,Schuyler,0,Total,158,100.0%
2007,52,Schuyler,1,Burial,64,40.5%
2007,52,Schuyler,2,Cremation,81,51.3%
2007,52,Schuyler,3,Other/Unknown,13,8.2%
2007,53,Seneca,0,Total,324,100.0%
2007,53,Seneca,1,Burial,164,50.6%
2007,53,Seneca,2,Cremation,145,44.8%
2007,53,Seneca,3,Other/Unknown,15,4.6%
2007,54,Steuben,0,Total,1003,100.0%
2007,54,Steuben,1,Burial,578,57.6%
2007,54,Steuben,2,Cremation,360,35.9%
2007,54,Steuben,3,Other/Unknown,65,6.5%
2007,55,Suffolk,0,Total,10903,100.0%
2007,55,Suffolk,1,Burial,7590,69.6%
2007,55,Suffolk,2,Cremation,2777,25.5%
2007,55,Suffolk,3,Other/Unknown,536,4.9%
2007,56,Sullivan,0,Total,695,100.0%
2007,56,Sullivan,1,Burial,392,56.4%
2007,56,Sullivan,2,Cremation,258,37.1%
2007,56,Sullivan,3,Other/Unknown,45,6.5%
2007,57,Tioga,0,Total,425,100.0%
2007,57,Tioga,1,Burial,160,37.6%
2007,57,Tioga,2,Cremation,154,36.2%
2007,57,Tioga,3,Other/Unknown,111,26.1%
2007,58,Tompkins,0,Total,637,100.0%
2007,58,Tompkins,1,Burial,240,37.7%
2007,58,Tompkins,2,Cremation,343,53.8%
2007,58,Tompkins,3,Other/Unknown,54,8.5%
2007,59,Ulster,0,Total,1539,100.0%
2007,59,Ulster,1,Burial,878,57.1%
2007,59,Ulster,2,Cremation,585,38.0%
2007,59,Ulster,3,Other/Unknown,76,4.9%
2007,60,Warren,0,Total,651,100.0%
2007,60,Warren,1,Burial,333,51.2%
2007,60,Warren,2,Cremation,264,40.6%
2007,60,Warren,3,Other/Unknown,54,8.3%
2007,61,Washington,0,Total,535,100.0%
2007,61,Washington,1,Burial,229,42.8%
2007,61,Washington,2,Cremation,206,38.5%
2007,61,Washington,3,Other/Unknown,100,18.7%
2007,62,Wayne,0,Total,780,100.0%
2007,62,Wayne,1,Burial,428,54.9%
2007,62,Wayne,2,Cremation,317,40.6%
2007,62,Wayne,3,Other/Unknown,35,4.5%
2007,63,Westchester,0,Total,6803,100.0%
2007,63,Westchester,1,Burial,4408,64.8%
2007,63,Westchester,2,Cremation,1760,25.9%
2007,63,Westchester,3,Other/Unknown,635,9.3%
2007,64,Wyoming,0,Total,355,100.0%
2007,64,Wyoming,1,Burial,183,51.5%
2007,64,Wyoming,2,Cremation,146,41.1%
2007,64,Wyoming,3,Other/Unknown,26,7.3%
2007,65,Yates,0,Total,231,100.0%
2007,65,Yates,1,Burial,108,46.8%
2007,65,Yates,2,Cremation,109,47.2%
2007,65,Yates,3,Other/Unknown,14,6.1%
2008,1,New York State,0,Total,147469,100.0%
2008,1,New York State,1,Burial,90606,61.4%
2008,1,New York State,2,Cremation,45201,30.7%
2008,1,New York State,3,Other/Unknown,11662,7.9%
2008,2,New York City,0,Total,53001,100.0%
2008,2,New York City,1,Burial,35707,67.4%
2008,2,New York City,2,Cremation,13470,25.4%
2008,2,New York City,3,Other/Unknown,3824,7.2%
2008,3,Bronx,0,Total,9074,100.0%
2008,3,Bronx,1,Burial,5741,63.3%
2008,3,Bronx,2,Cremation,2418,26.6%
2008,3,Bronx,3,Other/Unknown,915,10.1%
2008,4,Kings,0,Total,16173,100.0%
2008,4,Kings,1,Burial,12078,74.7%
2008,4,Kings,2,Cremation,3187,19.7%
2008,4,Kings,3,Other/Unknown,908,5.6%
2008,5,New York,0,Total,10175,100.0%
2008,5,New York,1,Burial,5683,55.9%
2008,5,New York,2,Cremation,3701,36.4%
2008,5,New York,3,Other/Unknown,791,7.8%
2008,6,Queens,0,Total,14071,100.0%
2008,6,Queens,1,Burial,9753,69.3%
2008,6,Queens,2,Cremation,3381,24.0%
2008,6,Queens,3,Other/Unknown,937,6.7%
2008,7,Richmond,0,Total,3508,100.0%
2008,7,Richmond,1,Burial,2452,69.9%
2008,7,Richmond,2,Cremation,783,22.3%
2008,7,Richmond,3,Other/Unknown,273,7.8%
2008,8,Rest of State,0,Total,94468,100.0%
2008,8,Rest of State,1,Burial,54899,58.1%
2008,8,Rest of State,2,Cremation,31731,33.6%
2008,8,Rest of State,3,Other/Unknown,7838,8.3%
2008,9,Albany,0,Total,2690,100.0%
2008,9,Albany,1,Burial,1739,64.6%
2008,9,Albany,2,Cremation,760,28.3%
2008,9,Albany,3,Other/Unknown,191,7.1%
2008,10,Allegany,0,Total,437,100.0%
2008,10,Allegany,1,Burial,246,56.3%
2008,10,Allegany,2,Cremation,173,39.6%
2008,10,Allegany,3,Other/Unknown,18,4.1%
2008,11,Broome,0,Total,2004,100.0%
2008,11,Broome,1,Burial,1034,51.6%
2008,11,Broome,2,Cremation,716,35.7%
2008,11,Broome,3,Other/Unknown,254,12.7%
2008,12,Cattaraugus,0,Total,780,100.0%
2008,12,Cattaraugus,1,Burial,436,55.9%
2008,12,Cattaraugus,2,Cremation,301,38.6%
2008,12,Cattaraugus,3,Other/Unknown,43,5.5%
2008,13,Cayuga,0,Total,740,100.0%
2008,13,Cayuga,1,Burial,428,57.8%
2008,13,Cayuga,2,Cremation,237,32.0%
2008,13,Cayuga,3,Other/Unknown,75,10.1%
2008,14,Chautauqua,0,Total,1419,100.0%
2008,14,Chautauqua,1,Burial,757,53.3%
2008,14,Chautauqua,2,Cremation,492,34.7%
2008,14,Chautauqua,3,Other/Unknown,170,12.0%
2008,15,Chemung,0,Total,996,100.0%
2008,15,Chemung,1,Burial,567,56.9%
2008,15,Chemung,2,Cremation,370,37.1%
2008,15,Chemung,3,Other/Unknown,59,5.9%
2008,16,Chenango,0,Total,527,100.0%
2008,16,Chenango,1,Burial,250,47.4%
2008,16,Chenango,2,Cremation,251,47.6%
2008,16,Chenango,3,Other/Unknown,26,4.9%
2008,17,Clinton,0,Total,638,100.0%
2008,17,Clinton,1,Burial,305,47.8%
2008,17,Clinton,2,Cremation,260,40.8%
2008,17,Clinton,3,Other/Unknown,73,11.4%
2008,18,Columbia,0,Total,629,100.0%
2008,18,Columbia,1,Burial,323,51.4%
2008,18,Columbia,2,Cremation,271,43.1%
2008,18,Columbia,3,Other/Unknown,35,5.6%
2008,19,Cortland,0,Total,434,100.0%
2008,19,Cortland,1,Burial,262,60.4%
2008,19,Cortland,2,Cremation,146,33.6%
2008,19,Cortland,3,Other/Unknown,26,6.0%
2008,20,Delaware,0,Total,523,100.0%
2008,20,Delaware,1,Burial,250,47.8%
2008,20,Delaware,2,Cremation,245,46.8%
2008,20,Delaware,3,Other/Unknown,28,5.4%
2008,21,Dutchess,0,Total,2129,100.0%
2008,21,Dutchess,1,Burial,1070,50.3%
2008,21,Dutchess,2,Cremation,824,38.7%
2008,21,Dutchess,3,Other/Unknown,235,11.0%
2008,22,Erie,0,Total,9431,100.0%
2008,22,Erie,1,Burial,4538,48.1%
2008,22,Erie,2,Cremation,3901,41.4%
2008,22,Erie,3,Other/Unknown,992,10.5%
2008,23,Essex,0,Total,415,100.0%
2008,23,Essex,1,Burial,180,43.4%
2008,23,Essex,2,Cremation,192,46.3%
2008,23,Essex,3,Other/Unknown,43,10.4%
2008,24,Franklin,0,Total,453,100.0%
2008,24,Franklin,1,Burial,236,52.1%
2008,24,Franklin,2,Cremation,182,40.2%
2008,24,Franklin,3,Other/Unknown,35,7.7%
2008,25,Fulton,0,Total,567,100.0%
2008,25,Fulton,1,Burial,301,53.1%
2008,25,Fulton,2,Cremation,206,36.3%
2008,25,Fulton,3,Other/Unknown,60,10.6%
2008,26,Genesee,0,Total,653,100.0%
2008,26,Genesee,1,Burial,344,52.7%
2008,26,Genesee,2,Cremation,240,36.8%
2008,26,Genesee,3,Other/Unknown,69,10.6%
2008,27,Greene,0,Total,517,100.0%
2008,27,Greene,1,Burial,268,51.8%
2008,27,Greene,2,Cremation,229,44.3%
2008,27,Greene,3,Other/Unknown,20,3.9%
2008,28,Hamilton,0,Total,62,100.0%
2008,28,Hamilton,1,Burial,27,43.5%
2008,28,Hamilton,2,Cremation,27,43.5%
2008,28,Hamilton,3,Other/Unknown,8,12.9%
2008,29,Herkimer,0,Total,648,100.0%
2008,29,Herkimer,1,Burial,345,53.2%
2008,29,Herkimer,2,Cremation,248,38.3%
2008,29,Herkimer,3,Other/Unknown,55,8.5%
2008,30,Jefferson,0,Total,849,100.0%
2008,30,Jefferson,1,Burial,407,47.9%
2008,30,Jefferson,2,Cremation,393,46.3%
2008,30,Jefferson,3,Other/Unknown,49,5.8%
2008,31,Lewis,0,Total,226,100.0%
2008,31,Lewis,1,Burial,142,62.8%
2008,31,Lewis,2,Cremation,73,32.3%
2008,31,Lewis,3,Other/Unknown,11,4.9%
2008,32,Livingston,0,Total,523,100.0%
2008,32,Livingston,1,Burial,299,57.2%
2008,32,Livingston,2,Cremation,213,40.7%
2008,32,Livingston,3,Other/Unknown,11,2.1%
2008,33,Madison,0,Total,575,100.0%
2008,33,Madison,1,Burial,316,55.0%
2008,33,Madison,2,Cremation,218,37.9%
2008,33,Madison,3,Other/Unknown,41,7.1%
2008,34,Monroe,0,Total,6316,100.0%
2008,34,Monroe,1,Burial,3276,51.9%
2008,34,Monroe,2,Cremation,2425,38.4%
2008,34,Monroe,3,Other/Unknown,615,9.7%
2008,35,Montgomery,0,Total,601,100.0%
2008,35,Montgomery,1,Burial,381,63.4%
2008,35,Montgomery,2,Cremation,184,30.6%
2008,35,Montgomery,3,Other/Unknown,36,6.0%
2008,36,Nassau,0,Total,10840,100.0%
2008,36,Nassau,1,Burial,7788,71.8%
2008,36,Nassau,2,Cremation,2299,21.2%
2008,36,Nassau,3,Other/Unknown,753,6.9%
2008,37,Niagara,0,Total,2231,100.0%
2008,37,Niagara,1,Burial,1160,52.0%
2008,37,Niagara,2,Cremation,834,37.4%
2008,37,Niagara,3,Other/Unknown,237,10.6%
2008,38,Oneida,0,Total,2443,100.0%
2008,38,Oneida,1,Burial,1525,62.4%
2008,38,Oneida,2,Cremation,709,29.0%
2008,38,Oneida,3,Other/Unknown,209,8.6%
2008,39,Onondaga,0,Total,4047,100.0%
2008,39,Onondaga,1,Burial,2278,56.3%
2008,39,Onondaga,2,Cremation,1353,33.4%
2008,39,Onondaga,3,Other/Unknown,416,10.3%
2008,40,Ontario,0,Total,989,100.0%
2008,40,Ontario,1,Burial,441,44.6%
2008,40,Ontario,2,Cremation,495,50.1%
2008,40,Ontario,3,Other/Unknown,53,5.4%
2008,41,Orange,0,Total,2492,100.0%
2008,41,Orange,1,Burial,1423,57.1%
2008,41,Orange,2,Cremation,961,38.6%
2008,41,Orange,3,Other/Unknown,108,4.3%
2008,42,Orleans,0,Total,391,100.0%
2008,42,Orleans,1,Burial,206,52.7%
2008,42,Orleans,2,Cremation,167,42.7%
2008,42,Orleans,3,Other/Unknown,18,4.6%
2008,43,Oswego,0,Total,1004,100.0%
2008,43,Oswego,1,Burial,534,53.2%
2008,43,Oswego,2,Cremation,411,40.9%
2008,43,Oswego,3,Other/Unknown,59,5.9%
2008,44,Otsego,0,Total,558,100.0%
2008,44,Otsego,1,Burial,248,44.4%
2008,44,Otsego,2,Cremation,275,49.3%
2008,44,Otsego,3,Other/Unknown,35,6.3%
2008,45,Putnam,0,Total,618,100.0%
2008,45,Putnam,1,Burial,337,54.5%
2008,45,Putnam,2,Cremation,206,33.3%
2008,45,Putnam,3,Other/Unknown,75,12.1%
2008,46,Rensselaer,0,Total,1418,100.0%
2008,46,Rensselaer,1,Burial,895,63.1%
2008,46,Rensselaer,2,Cremation,388,27.4%
2008,46,Rensselaer,3,Other/Unknown,135,9.5%
2008,47,Rockland,0,Total,1948,100.0%
2008,47,Rockland,1,Burial,1394,71.6%
2008,47,Rockland,2,Cremation,454,23.3%
2008,47,Rockland,3,Other/Unknown,100,5.1%
2008,48,St Lawrence,0,Total,1055,100.0%
2008,48,St Lawrence,1,Burial,543,51.5%
2008,48,St Lawrence,2,Cremation,414,39.2%
2008,48,St Lawrence,3,Other/Unknown,98,9.3%
2008,49,Saratoga,0,Total,1559,100.0%
2008,49,Saratoga,1,Burial,878,56.3%
2008,49,Saratoga,2,Cremation,553,35.5%
2008,49,Saratoga,3,Other/Unknown,128,8.2%
2008,50,Schenectady,0,Total,1469,100.0%
2008,50,Schenectady,1,Burial,855,58.2%
2008,50,Schenectady,2,Cremation,480,32.7%
2008,50,Schenectady,3,Other/Unknown,134,9.1%
2008,51,Schoharie,0,Total,240,100.0%
2008,51,Schoharie,1,Burial,123,51.2%
2008,51,Schoharie,2,Cremation,100,41.7%
2008,51,Schoharie,3,Other/Unknown,17,7.1%
2008,52,Schuyler,0,Total,182,100.0%
2008,52,Schuyler,1,Burial,75,41.2%
2008,52,Schuyler,2,Cremation,94,51.6%
2008,52,Schuyler,3,Other/Unknown,13,7.1%
2008,53,Seneca,0,Total,322,100.0%
2008,53,Seneca,1,Burial,171,53.1%
2008,53,Seneca,2,Cremation,139,43.2%
2008,53,Seneca,3,Other/Unknown,12,3.7%
2008,54,Steuben,0,Total,984,100.0%
2008,54,Steuben,1,Burial,582,59.1%
2008,54,Steuben,2,Cremation,339,34.5%
2008,54,Steuben,3,Other/Unknown,63,6.4%
2008,55,Suffolk,0,Total,11208,100.0%
2008,55,Suffolk,1,Burial,7599,67.8%
2008,55,Suffolk,2,Cremation,2996,26.7%
2008,55,Suffolk,3,Other/Unknown,613,5.5%
2008,56,Sullivan,0,Total,741,100.0%
2008,56,Sullivan,1,Burial,382,51.6%
2008,56,Sullivan,2,Cremation,304,41.0%
2008,56,Sullivan,3,Other/Unknown,55,7.4%
2008,57,Tioga,0,Total,400,100.0%
2008,57,Tioga,1,Burial,148,37.0%
2008,57,Tioga,2,Cremation,153,38.3%
2008,57,Tioga,3,Other/Unknown,99,24.8%
2008,58,Tompkins,0,Total,600,100.0%
2008,58,Tompkins,1,Burial,219,36.5%
2008,58,Tompkins,2,Cremation,334,55.7%
2008,58,Tompkins,3,Other/Unknown,47,7.8%
2008,59,Ulster,0,Total,1490,100.0%
2008,59,Ulster,1,Burial,809,54.3%
2008,59,Ulster,2,Cremation,602,40.4%
2008,59,Ulster,3,Other/Unknown,79,5.3%
2008,60,Warren,0,Total,619,100.0%
2008,60,Warren,1,Burial,313,50.6%
2008,60,Warren,2,Cremation,257,41.5%
2008,60,Warren,3,Other/Unknown,49,7.9%
2008,61,Washington,0,Total,561,100.0%
2008,61,Washington,1,Burial,282,50.3%
2008,61,Washington,2,Cremation,223,39.8%
2008,61,Washington,3,Other/Unknown,56,10.0%
2008,62,Wayne,0,Total,824,100.0%
2008,62,Wayne,1,Burial,434,52.7%
2008,62,Wayne,2,Cremation,344,41.7%
2008,62,Wayne,3,Other/Unknown,46,5.6%
2008,63,Westchester,0,Total,6872,100.0%
2008,63,Westchester,1,Burial,4212,61.3%
2008,63,Westchester,2,Cremation,1833,26.7%
2008,63,Westchester,3,Other/Unknown,827,12.0%
2008,64,Wyoming,0,Total,349,100.0%
2008,64,Wyoming,1,Burial,192,55.0%
2008,64,Wyoming,2,Cremation,140,40.1%
2008,64,Wyoming,3,Other/Unknown,17,4.9%
2008,65,Yates,0,Total,232,100.0%
2008,65,Yates,1,Burial,126,54.3%
2008,65,Yates,2,Cremation,97,41.8%
2008,65,Yates,3,Other/Unknown,9,3.9%
2009,1,New York State,0,Total,144966,100.0%
2009,1,New York State,1,Burial,86257,59.5%
2009,1,New York State,2,Cremation,47272,32.6%
2009,1,New York State,3,Other/Unknown,11437,7.9%
2009,2,New York City,0,Total,51532,100.0%
2009,2,New York City,1,Burial,34064,66.1%
2009,2,New York City,2,Cremation,14126,27.4%
2009,2,New York City,3,Other/Unknown,3342,6.5%
2009,3,Bronx,0,Total,9072,100.0%
2009,3,Bronx,1,Burial,5630,62.1%
2009,3,Bronx,2,Cremation,2607,28.7%
2009,3,Bronx,3,Other/Unknown,835,9.2%
2009,4,Kings,0,Total,15412,100.0%
2009,4,Kings,1,Burial,11378,73.8%
2009,4,Kings,2,Cremation,3269,21.2%
2009,4,Kings,3,Other/Unknown,765,5.0%
2009,5,New York,0,Total,9826,100.0%
2009,5,New York,1,Burial,5396,54.9%
2009,5,New York,2,Cremation,3775,38.4%
2009,5,New York,3,Other/Unknown,655,6.7%
2009,6,Queens,0,Total,13836,100.0%
2009,6,Queens,1,Burial,9395,67.9%
2009,6,Queens,2,Cremation,3591,26.0%
2009,6,Queens,3,Other/Unknown,850,6.1%
2009,7,Richmond,0,Total,3386,100.0%
2009,7,Richmond,1,Burial,2265,66.9%
2009,7,Richmond,2,Cremation,884,26.1%
2009,7,Richmond,3,Other/Unknown,237,7.0%
2009,8,Rest of State,0,Total,93434,100.0%
2009,8,Rest of State,1,Burial,52193,55.9%
2009,8,Rest of State,2,Cremation,33146,35.5%
2009,8,Rest of State,3,Other/Unknown,8095,8.7%
2009,9,Albany,0,Total,2580,100.0%
2009,9,Albany,1,Burial,1626,63.0%
2009,9,Albany,2,Cremation,766,29.7%
2009,9,Albany,3,Other/Unknown,188,7.3%
2009,10,Allegany,0,Total,441,100.0%
2009,10,Allegany,1,Burial,238,54.0%
2009,10,Allegany,2,Cremation,177,40.1%
2009,10,Allegany,3,Other/Unknown,26,5.9%
2009,11,Broome,0,Total,2089,100.0%
2009,11,Broome,1,Burial,1032,49.4%
2009,11,Broome,2,Cremation,800,38.3%
2009,11,Broome,3,Other/Unknown,257,12.3%
2009,12,Cattaraugus,0,Total,805,100.0%
2009,12,Cattaraugus,1,Burial,446,55.4%
2009,12,Cattaraugus,2,Cremation,305,37.9%
2009,12,Cattaraugus,3,Other/Unknown,54,6.7%
2009,13,Cayuga,0,Total,688,100.0%
2009,13,Cayuga,1,Burial,366,53.2%
2009,13,Cayuga,2,Cremation,257,37.4%
2009,13,Cayuga,3,Other/Unknown,65,9.4%
2009,14,Chautauqua,0,Total,1336,100.0%
2009,14,Chautauqua,1,Burial,689,51.6%
2009,14,Chautauqua,2,Cremation,498,37.3%
2009,14,Chautauqua,3,Other/Unknown,149,11.2%
2009,15,Chemung,0,Total,941,100.0%
2009,15,Chemung,1,Burial,527,56.0%
2009,15,Chemung,2,Cremation,366,38.9%
2009,15,Chemung,3,Other/Unknown,48,5.1%
2009,16,Chenango,0,Total,522,100.0%
2009,16,Chenango,1,Burial,250,47.9%
2009,16,Chenango,2,Cremation,237,45.4%
2009,16,Chenango,3,Other/Unknown,35,6.7%
2009,17,Clinton,0,Total,646,100.0%
2009,17,Clinton,1,Burial,296,45.8%
2009,17,Clinton,2,Cremation,292,45.2%
2009,17,Clinton,3,Other/Unknown,58,9.0%
2009,18,Columbia,0,Total,608,100.0%
2009,18,Columbia,1,Burial,288,47.4%
2009,18,Columbia,2,Cremation,280,46.1%
2009,18,Columbia,3,Other/Unknown,40,6.6%
2009,19,Cortland,0,Total,405,100.0%
2009,19,Cortland,1,Burial,196,48.4%
2009,19,Cortland,2,Cremation,191,47.2%
2009,19,Cortland,3,Other/Unknown,18,4.4%
2009,20,Delaware,0,Total,534,100.0%
2009,20,Delaware,1,Burial,246,46.1%
2009,20,Delaware,2,Cremation,263,49.3%
2009,20,Delaware,3,Other/Unknown,25,4.7%
2009,21,Dutchess,0,Total,2270,100.0%
2009,21,Dutchess,1,Burial,1171,51.6%
2009,21,Dutchess,2,Cremation,824,36.3%
2009,21,Dutchess,3,Other/Unknown,275,12.1%
2009,22,Erie,0,Total,9360,100.0%
2009,22,Erie,1,Burial,4380,46.8%
2009,22,Erie,2,Cremation,3980,42.5%
2009,22,Erie,3,Other/Unknown,1000,10.7%
2009,23,Essex,0,Total,389,100.0%
2009,23,Essex,1,Burial,156,40.1%
2009,23,Essex,2,Cremation,191,49.1%
2009,23,Essex,3,Other/Unknown,42,10.8%
2009,24,Franklin,0,Total,456,100.0%
2009,24,Franklin,1,Burial,220,48.2%
2009,24,Franklin,2,Cremation,197,43.2%
2009,24,Franklin,3,Other/Unknown,39,8.6%
2009,25,Fulton,0,Total,562,100.0%
2009,25,Fulton,1,Burial,300,53.4%
2009,25,Fulton,2,Cremation,225,40.0%
2009,25,Fulton,3,Other/Unknown,37,6.6%
2009,26,Genesee,0,Total,609,100.0%
2009,26,Genesee,1,Burial,335,55.0%
2009,26,Genesee,2,Cremation,235,38.6%
2009,26,Genesee,3,Other/Unknown,39,6.4%
2009,27,Greene,0,Total,503,100.0%
2009,27,Greene,1,Burial,250,49.7%
2009,27,Greene,2,Cremation,229,45.5%
2009,27,Greene,3,Other/Unknown,24,4.8%
2009,28,Hamilton,0,Total,70,100.0%
2009,28,Hamilton,1,Burial,27,38.6%
2009,28,Hamilton,2,Cremation,36,51.4%
2009,28,Hamilton,3,Other/Unknown,7,10.0%
2009,29,Herkimer,0,Total,637,100.0%
2009,29,Herkimer,1,Burial,313,49.1%
2009,29,Herkimer,2,Cremation,251,39.4%
2009,29,Herkimer,3,Other/Unknown,73,11.5%
2009,30,Jefferson,0,Total,906,100.0%
2009,30,Jefferson,1,Burial,423,46.7%
2009,30,Jefferson,2,Cremation,413,45.6%
2009,30,Jefferson,3,Other/Unknown,70,7.7%
2009,31,Lewis,0,Total,253,100.0%
2009,31,Lewis,1,Burial,150,59.3%
2009,31,Lewis,2,Cremation,84,33.2%
2009,31,Lewis,3,Other/Unknown,19,7.5%
2009,32,Livingston,0,Total,491,100.0%
2009,32,Livingston,1,Burial,270,55.0%
2009,32,Livingston,2,Cremation,208,42.4%
2009,32,Livingston,3,Other/Unknown,13,2.6%
2009,33,Madison,0,Total,542,100.0%
2009,33,Madison,1,Burial,269,49.6%
2009,33,Madison,2,Cremation,239,44.1%
2009,33,Madison,3,Other/Unknown,34,6.3%
2009,34,Monroe,0,Total,6169,100.0%
2009,34,Monroe,1,Burial,2984,48.4%
2009,34,Monroe,2,Cremation,2571,41.7%
2009,34,Monroe,3,Other/Unknown,614,10.0%
2009,35,Montgomery,0,Total,581,100.0%
2009,35,Montgomery,1,Burial,360,62.0%
2009,35,Montgomery,2,Cremation,189,32.5%
2009,35,Montgomery,3,Other/Unknown,32,5.5%
2009,36,Nassau,0,Total,10424,100.0%
2009,36,Nassau,1,Burial,7406,71.0%
2009,36,Nassau,2,Cremation,2248,21.6%
2009,36,Nassau,3,Other/Unknown,770,7.4%
2009,37,Niagara,0,Total,2285,100.0%
2009,37,Niagara,1,Burial,1130,49.5%
2009,37,Niagara,2,Cremation,900,39.4%
2009,37,Niagara,3,Other/Unknown,255,11.2%
2009,38,Oneida,0,Total,2411,100.0%
2009,38,Oneida,1,Burial,1523,63.2%
2009,38,Oneida,2,Cremation,721,29.9%
2009,38,Oneida,3,Other/Unknown,167,6.9%
2009,39,Onondaga,0,Total,3916,100.0%
2009,39,Onondaga,1,Burial,2062,52.7%
